id,label,date_short,distance_sum_um,nearer_to_center_um,farther_to_center_um,tau,qc,pron_min_distance_um,transcript_total,spread_rms,spread_axis0,spread_axis1,spread_axis2,aniso_01,aniso_02,planarity,blobsep_p95,blobsep_p98,blobsep_p99,blobsep_p99,blobsep_p95_norm,blobsep_p98_norm,blobsep_p99_norm,blobsep_p99_norm,blob_count_p98,top2_massfrac_p98,principal_bimodality,dnavol_p95,dnavol_p98,dnavol_p99,dnavol_p99,radial_0,radial_1,radial_2,radial_3,radial_4,radial_5,radial_6,radial_7,radial_8,radial_9,intensity_cv,intensity_p90_over_p50,dna_extent_rms
20260407_zygote_p1_11,Z-P1_0-fov11,Apr 7,29.0672,12.5723,16.4949,0.46495,pass,0.3,11653,78.97440427991043,54.808918290801444,49.010992232489265,28.8246708141804,1.1182984607312294,1.9014585367746666,0.3683035841521642,149.08863786780375,144.03896400025826,137.95382236371032,137.95382236371032,1.887809567408405,1.823868929303593,1.746816856356918,1.746816856356918,6407.0,0.9304998822987225,0.3111917227641613,0.04997468877401384,0.01999513928997039,0.004999663224127791,0.004999663224127791,0.9999999999996576,0.36754865897347355,0.22060131705375208,0.18806781061861522,0.17141335870786978,0.1606631642859602,0.15285186688496424,0.1449988598817659,0.14278453972989355,0.13988471098166408,0.6061751246452332,1.333194375038147,78.97440427991043
20260407_zygote_p1_12,Z-P1_0-fov12,Apr 7,27.0371,10.7865,16.2507,0.54753,pass,1.35,6775,70.59377980755255,49.15279376606113,43.645381077746386,25.740344268998726,1.1261854387826022,1.909562333076394,0.36427301629470465,82.39562354528435,86.67965796493796,37.36304254474985,37.36304254474985,1.1671796382446933,1.2278653582988779,0.5292681893126842,0.5292681893126842,3670.0,0.9808558819921288,0.3182729980501661,0.04999358269597837,0.019994874112118255,0.004999663224127791,0.004999663224127791,0.9999999999997001,0.42826142824685637,0.19595002733993663,0.1674367002347714,0.15245728609115056,0.14325234733719616,0.13570698321838184,0.12872620230936482,0.12712987997820238,0.12437614888328853,0.7190567851066589,1.324123740196228,70.59377980755255
20260407_zygote_p1_2,Z-P1_1-fov2,Apr 7,37.5179,13.94,23.578,0.24036,pass,12.25,53563,72.08777982561068,49.567654813816326,44.40954019311147,27.70357984594212,1.1161487707849806,1.789214726047833,0.33703349639772123,156.1011181582512,61.64501568163619,50.770889137058035,50.770889137058035,2.1654310393585186,0.8551382075523057,0.7042925799017054,0.7042925799017054,5410.0,0.9439223213427349,0.3437344674501245,0.049992588279032864,0.019997923657417795,0.004999928401979924,0.004999928401979924,0.9999999999997247,0.38963264452557583,0.19335444011567746,0.16717911473066152,0.15304009309742364,0.14503232228173438,0.13582242979390552,0.12755276050161377,0.12360038883119605,0.11806351591379942,0.6770719289779663,1.2989007234573364,72.08777982561068
20260407_zygote_p1_3,Z-P1_0-fov3,Apr 7,33.8282,13.8382,19.9899,0.32671,pass,9.14,4586,71.11078223123128,48.6170562545652,43.697219621923175,27.994252767156578,1.1125892119137142,1.736679843618611,0.32299295229951563,158.97986300674327,162.58530858655843,23.703088346113596,23.703088346113596,2.2356646317589792,2.286366444001594,0.333326216771346,0.333326216771346,5797.0,0.9701155523135331,0.31639216904272294,0.049993118634737134,0.019994078578561857,0.00499986210751689,0.00499986210751689,0.999999999999676,0.33316705899133764,0.19661108449351533,0.17354957454366574,0.15837956886172558,0.14790237151767294,0.14426348459179747,0.13714770406330234,0.12942591160544317,0.12868633663973533,0.6694836020469666,1.2977880239486694,71.11078223123128
20260407_zygote_p1_4,Z-P1_0-fov4,Apr 7,39.8026,18.3782,21.4244,0.2003,pass,0.42,5526,72.7812285900416,50.55181174195384,45.50110327351499,25.90890128073494,1.1110018657586458,1.9511367635031995,0.38756675438703186,89.19736486566161,61.49967324281006,49.62477823337218,49.62477823337218,1.2255545195936919,0.844993600537148,0.6818348427595426,0.6818348427595426,4470.0,0.9739678119768618,0.4046393681803059,0.04997110887301004,0.019998719190974193,0.00499986210751689,0.00499986210751689,0.9999999999997146,0.42371405992805605,0.21330812432167068,0.17429396514926215,0.15850945775657987,0.14958478066839667,0.13878752230314947,0.12850306024453084,0.12351069510333924,0.11630525528316978,0.7170118093490601,1.337093710899353,72.7812285900416
20260407_zygote_p1_5,Z-P1_0-fov5,Apr 7,41.7483,19.4785,22.2698,0.15275,pass,5.48,4188,88.41604664553601,71.90617683119682,43.41358875146197,27.607233647455285,1.656305715395842,2.6046135279190237,0.21981915296781399,137.69741198123222,136.85766349449216,128.87054923936594,128.87054923936594,1.5573803132805422,1.5478826201682392,1.4575470479749773,1.4575470479749773,2809.0,0.9822044236991461,0.34334666247613826,0.049988743200176926,0.019997592185102626,0.004999795813053857,0.004999795813053857,0.9999999999996156,0.3634841588979766,0.2511747876726217,0.23317408146011284,0.19895000431241386,0.1826201910571385,0.18002586593410216,0.16338517054297844,0.15875843891296923,0.16858958446127814,0.7255507707595825,1.4081592559814453,88.41604664553601
20260407_zygote_p1_6_0,Z-P1_1-fov6_0,Apr 7,31.639,15.5773,16.0617,0.38418,pass,1.59,11073,82.4747993786793,70.33609928341558,36.99407925108481,22.053656624500146,1.9012798481820088,3.1893167328977143,0.2124147140143259,198.71743508058222,99.76022685691066,107.10918401924567,107.10918401924567,2.4094321437357857,1.2095843384750993,1.2986898243761578,1.2986898243761578,768.0,0.9792197718782423,0.39668626098932463,0.04998794766662053,0.01999977990238273,0.004999994696442957,0.004999994696442957,0.9999999999995252,0.6558866183363351,0.4953062129533132,0.3287472767529509,0.2695236353531717,0.25342112238008185,0.24296539375922102,0.23436323968159758,0.22199977761453618,0.20470859728060653,0.7791008353233337,1.3655210733413696,82.4747993786793
20260407_zygote_p1_6_1,Z-P1_1-fov6_1,Apr 7,28.2133,8.6492,19.5641,0.53035,pass,1.08,8727,82.4747993786793,70.33609928341558,36.99407925108481,22.053656624500146,1.9012798481820088,3.1893167328977143,0.2124147140143259,198.71743508058222,99.76022685691066,107.10918401924567,107.10918401924567,2.4094321437357857,1.2095843384750993,1.2986898243761578,1.2986898243761578,768.0,0.9792197718782423,0.39668626098932463,0.04998794766662053,0.01999977990238273,0.004999994696442957,0.004999994696442957,0.9999999999995252,0.6558866183363351,0.4953062129533132,0.3287472767529509,0.2695236353531717,0.25342112238008185,0.24296539375922102,0.23436323968159758,0.22199977761453618,0.20470859728060653,0.7791008353233337,1.3655210733413696,82.4747993786793
20260407_zygote_p1_7_0,Z-P1_0-fov7_0,Apr 7,28.8762,10.6756,18.2007,0.46495,pass,1.9,11359,108.04746038778244,98.73213979829828,37.95691260130083,22.03386150623426,2.601163541255752,4.480927471085154,0.16127525409983834,39.30976822408443,208.40504596475108,205.8306875964903,205.8306875964903,0.36381945229607604,1.928828713677827,1.9050025327088784,1.9050025327088784,976.0,0.9914578644329607,0.6162919469300836,0.04999756036376037,0.01999977990238273,0.004999596929664757,0.004999596929664757,0.8596254290667049,0.8757286671242877,0.9556834294766383,0.9999999999987912,0.9216761111428498,0.7643769046963151,0.7188465332332687,0.6928567811669114,0.6941383335290207,0.7196261467125902,0.5595616698265076,1.2014769315719604,108.04746038778244
20260407_zygote_p1_7_1,Z-P1_1-fov7_1,Apr 7,23.7011,10.9561,12.745,0.64342,pass,0.3,9942,108.04746038778244,98.73213979829828,37.95691260130083,22.03386150623426,2.601163541255752,4.480927471085154,0.16127525409983834,39.30976822408443,208.40504596475108,205.8306875964903,205.8306875964903,0.36381945229607604,1.928828713677827,1.9050025327088784,1.9050025327088784,976.0,0.9914578644329607,0.6162919469300836,0.04999756036376037,0.01999977990238273,0.004999596929664757,0.004999596929664757,0.8596254290667049,0.8757286671242877,0.9556834294766383,0.9999999999987912,0.9216761111428498,0.7643769046963151,0.7188465332332687,0.6928567811669114,0.6941383335290207,0.7196261467125902,0.5595616698265076,1.2014769315719604,108.04746038778244
